FYTD # of,# of personnel,Median days to fill,Cargo Volume,Number of Passengers Handled,Volume of Landings/Departures,Revenue (in thousands),Operating Expense (in Millions),Revenue (in Millions),Tons of CO2e Greenhouse Gas Emissions (Annual),Number of Vacancies,# Occasions the Security Line Exceeds,# of Projects at Risk,% of Projects at Risk Resolved,Average Days Behind Baseline Schedule-Active Capital Projects Behind Schedule,Electricity Cost ($),Electricity use,Natural Gas Cost ($),Natural Gas Use (therms),Project Dollars Over Baseline Budget-Active Capital Projects Over Budget,Total # of DOA Capital Projects Closed,Total # of DOA Capital Projects in Process,Transportation Fuel Use
,,,,,,,,,101826,,,,,,,,,,,,,
,,,,,,,,,50913,,,,,,,,,,,,,
,,,,,,,,,50913,,,,,,,,,,,,,
,,,,,,,,,101826,72,,,,,,,,,,,,
,,,,,,,,,50913,,,,,,,,,,,,,
,,,,,,,,,50913,,,,,,,,,,,,,
,,,,,,,,,,91,,,,,,,,,,,,
,,,,,,,,,,92,,,,,,,,,,,,
,,,,,,,,,,90,,,,,,,,,,,,
,,,,,,,,,,91,,,,,,,,,,,,
,,,,,,,,,,87,,,,,,,,,,,,
,,,,,,,,,,72,,,,,,,,,,,,
,,,,,,,,,,72,,,,,,,,,,,,
,,,,,,,,,,78,483,,,,,,,,,,,
,,,,,,,,,,66,25,,,,,,,,,,,
,,,,,,,,,,60,19,,,,,,,,,,,
,,,,,,,,,,64,1,,,,,,,,,,,
,,,,,,,,,,66,5,,,,,,,,,,,
,,,,,,,,,,67,172,,,,,,,,,,,
,,,,,,,,,,66,63,,,,,,,,,,,
,,,,,,,,,,66,27,,,,,,,,,,,
,,,,,,,,,,67,82,,,,,,,,,,,
,,,,,,,,,,86,135,,,,,,,,,,,
,,,,,,,,,,85,68,,,,,,,,,,,
,,,,,,,,,,82,43,,,,,,,,,,,
,,,,,,,,,,86,24,,,,,,,,,,,
,,,,,,,,,,86,26,,,,,,,,,,,
,,,,,,,,,,78,151,,,,,,,,,,,
,,,,,,,,,,75,46,,,,,,,,,,,
,,,,,,,,,,78,79,,,,,,,,,,,
,,,,,,,,,87342,83,,,,,,,,,,,,
,,,,,,,,,46704,83,,,,,,,,,,,,
,,,,,,,,,,77,,,,,,,,,,,,
,,,,,,,,,,82,,,,,,,,,,,,
,,,,,,,,,,83,,,,,,,,,,,,
,,,,,,,,,40638,,,,,,,,,,,,,
1935,76,83,162033,25219962,241203,4264,40048,94913,,,,42,0.14,183,"1,052,961","8,891,841","28,567","6,872",497.3,5,157,"65,820"
1935,76,83,109356,17234053,163653,4264,40048,94913,,,,42,0.14,183,"1,052,961","8,891,841","28,567","6,872",497.3,5,157,"65,820"
110,,,54927,8870510,82099,1376,9845,27969,,,,,,,,,,,,,,
1200,,,54429,8363543,81554,1869,13343,34793,,,,,,,,,,,,,,
625,76,,,,,1019,16860,32151,,,,,,,,,,,,,,
,,,52677,7985909,77550,,,,,,,,,,,,,,,,,
,,,52677,7985909,77550,,,,,,,,,,,,,,,,,
